order,locality,Station,day,time,species,Net#,Latitude,Longitude,Gremio
cap_1,restauracion,1,9/22/2022,7:40,milvago_chimachima,Red_9,3.344095174,-76.55235951,Carnivoro
cap_2,restauracion,1,9/22/2022,8:20,amazilia_tzacatl,Red_8,3.344512761,-76.55223316,Nectarivoro
cap_3,restauracion,1,9/22/2022,8:50,turdus_ignobilis,Red_7,3.344715553,-76.55241358,Omnivoro
cap_4,restauracion,1,9/22/2022,8:50,turdus_ignobilis,Red_7,3.344715553,-76.55241358,Omnivoro
cap_5,restauracion,1,9/22/2022,9:20,stilpnia_vitriolina,Red_1,3.345617065,-76.55158278,Frugivoro
cap_6,restauracion,1,9/22/2022,9:50,anthracothorax_nigricollis,Red_4,3.345176531,-76.5508456,Nectarivoro
cap_7,restauracion,1,9/22/2022,9:50,sicalis_flaveola,Red_8,3.344512761,-76.55223316,Granivoro
cap_8,restauracion,1,9/22/2022,9:50,ramphocelus_dimidiatus,Red_4,3.345176531,-76.5508456,Frugivoro
cap_9,restauracion,1,9/22/2022,9:50,forpus_conspicillatus,Red_5,3.345229251,-76.55166503,Granivoro
cap_10,restauracion,1,9/22/2022,9:50,myiozetetes_cayanensis,Red_3,3.345102536,-76.55124184,Insectivoro
cap_11,restauracion,1,9/22/2022,9:50,thraupis_episcopus,Red_5,3.345229251,-76.55166503,Frugivoro
cap_12,restauracion,1,9/22/2022,9:50,colaptes_punctigula,Red_4,3.345176531,-76.5508456,Insectivoro
cap_13,restauracion,1,9/22/2022,9:50,forpus_conspicillatus,Red_4,3.345176531,-76.5508456,Granivoro
cap_14,restauracion,1,9/23/2022,7:20,camptostoma_obsoletum,Red_9,3.344095174,-76.55235951,Insectivoro
cap_15,restauracion,1,9/23/2022,7:20,camptostoma_obsoletum,Red_9,3.344095174,-76.55235951,Insectivoro
cap_16,restauracion,1,9/23/2022,7:50,amazilia_tzacatl,Red_6,3.344885001,-76.5521361,Nectarivoro
cap_17,restauracion,1,9/23/2022,7:50,sporophila_cf_ intermedia,Red_5,3.345229251,-76.55166503,Granivoro
cap_18,restauracion,1,9/23/2022,8:20,zenaida_auriculata,Red_8,3.344512761,-76.55223316,Omnivoro
cap_19,bosque,1,9/24/2022,8:10,turdus_ignobilis,Red_7,3.344299711,-76.55308,Omnivoro
cap_20,bosque,1,9/24/2022,8:10,turdus_ignobilis,Red_7,3.344299711,-76.55308,Omnivoro
cap_21,bosque,1,9/24/2022,9:20,mionectes_oleagineus,Red_3,3.343475661,-76.552821,Frugivoro
cap_22,bosque,1,9/24/2022,10:00,ramphocelus_dimidiatus,Red_4,3.343812861,-76.552994,Frugivoro
cap_23,bosque,1,9/25/2022,7:15,myiothlypis_fulvicauda,Red_7,3.344299711,-76.55308,Insectivoro
cap_24,bosque,1,9/25/2022,7:15,turdus_ignobilis,Red_7,3.344299711,-76.55308,Insectivoro
cap_25,bosque,1,9/25/2022,8:40,manacus_manacus,Red_2,3.343884877,-76.55262894,Frugivoro
cap_26,bosque,1,9/25/2022,8:40,ramphocelus_dimidiatus,Red_4,3.343812861,-76.55299412,Frugivoro
cap_27,bosque,1,9/25/2022,9:40,chloroceryle_americana,Red_3,3.343475661,-76.55282116,Carnivoro
cap_28,bosque,1,9/25/2022,9:40,mionectes_oleagineus,Red_2,3.343884877,-76.55262894,Frugivoro
cap_29,potrero,1,9/26/2022,7:30,columbina_talpacoti,Red_2,3.347113963,-76.559427,Omnivoro
cap_30,potrero,1,9/26/2022,8:50,turdus_ignobilis,Red_3,3.346897153,-76.559428,Omnivoro
cap_31,potrero,1,9/27/2022,7:20,turdus_ignobilis,Red_6,3.34663464,-76.558726,Omnivoro
cap_32,potrero,1,9/27/2022,7:50,turdus_ignobilis,Red_6,3.34663464,-76.558726,Omnivoro
cap_33,potrero,1,9/27/2022,8:00,stelgidopteryx_ruficollis,Red_4,3.347028061,-76.55906,Insectivoro
cap_34,potrero,1,9/27/2022,8:36,stelgidopteryx_ruficollis,Red_4,3.347028061,-76.55906,Insectivoro
cap_35,potrero,1,9/27/2022,9:30,saucerottia_saucerottei,Red_3,3.346897153,-76.559428,Nectarivoro
cap_36,potrero,1,9/27/2022,9:30,lonchura_malacca,Red_8,3.346491891,-76.557917,Granivoro
cap_37,restauracion,2,9/28/2022,8:50,sicalis_flaveola,Red_5,3.346340483,-76.55317598,Granivoro
cap_38,restauracion,2,9/28/2022,8:50,mionectes_oleagineus,Red_4,3.346015721,-76.55215429,Frugivoro
cap_39,restauracion,2,9/28/2022,9:40,saucerottia_saucerottei,Red_10,3.345721244,-76.55196626,Nectarivoro
cap_40,restauracion,2,9/28/2022,10:10,sicalis_flaveola,Red_7,3.345172791,-76.55224137,Granivoro
cap_41,restauracion,2,9/28/2022,10:10,tyrannus_melancholicus,Red_5,3.346340483,-76.55317598,Insectivoro
cap_42,restauracion,2,9/28/2022,10:10,myiozetetes_cayanensis,Red_3,3.345782021,-76.55339485,Insectivoro
cap_43,restauracion,2,9/29/2022,7:50,tyrannus_melancholicus,Red_5,3.346340483,-76.55317598,Insectivoro
cap_44,restauracion,2,9/29/2022,8:20,mionectes_oleagineus,Red_4,3.346015721,-76.55215429,Frugivoro
cap_45,restauracion,2,9/29/2022,8:50,tyrannus_melancholicus,Red_2,3.345633741,-76.5532659,Insectivoro
cap_46,restauracion,2,9/29/2022,8:50,tyrannus_melancholicus,Red_2,3.345633741,-76.5532659,Insectivoro
cap_47,restauracion,2,9/29/2022,8:50,tyrannus_melancholicus,Red_2,3.345633741,-76.5532659,Insectivoro
cap_48,restauracion,2,9/29/2022,8:50,tyrannus_melancholicus,Red_2,3.345633741,-76.5532659,Insectivoro
cap_49,restauracion,2,9/29/2022,8:50,tyrannus_melancholicus,Red_2,3.345633741,-76.5532659,Insectivoro
cap_50,bosque,2,9/30/2022,8:10,saltator_striatipectus,Red_5,3.34483,-76.55684,Frugivoro
cap_51,bosque,2,9/30/2022,8:10,myiarchus_apicalis,Red_2,3.34531,-76.55588,Insectivoro
cap_52,bosque,2,9/30/2022,8:10,ramphocelus_dimidiatus,Red_10,3.345345,-76.55799,Frugivoro
cap_53,bosque,2,9/30/2022,9:30,poecilotriccus_sylvia,Red_10,3.345345,-76.55799,Insectivoro
cap_54,bosque,2,9/30/2022,9:30,dryobates_fumigatus,Red_5,3.34483,-76.55684,Insectivoro
cap_55,bosque,2,9/30/2022,9:30,dryobates_fumigatus,Red_5,3.34483,-76.55684,Insectivoro
cap_56,bosque,2,9/30/2022,9:30,ramphocelus_dimidiatus,Red_5,3.34483,-76.55684,Frugivoro
cap_57,bosque,2,10/1/2022,7:40,stilpnia_vitriolina,Red_7,3.34549,-76.55707,Frugivoro
cap_58,bosque,2,10/1/2022,9:00,ramphocelus_dimidiatus,Red_8,3.34519,-76.55749,Frugivoro
cap_59,potrero,2,10/2/2022,7:00,turdus_ignobilis,Red_8,3.346095401,-76.55655639,Omnivoro
cap_60,potrero,2,10/2/2022,7:00,saucerottia_saucerottei,Red_4,3.345826061,-76.55520795,Nectarivoro
cap_61,potrero,2,10/2/2022,7:00,troglodytes_aedon,Red_2,3.346129561,-76.55464629,Insectivoro
cap_62,potrero,2,10/2/2022,7:30,sicalis_flaveola,Red_1,3.345825159,-76.55423922,Granivoro
cap_63,potrero,2,10/2/2022,7:30,sicalis_flaveola,Red_1,3.345825159,-76.55423922,Granivoro
cap_64,potrero,2,10/2/2022,8:10,thraupis_episcopus,Red_8,3.346095401,-76.55655639,Frugivoro
cap_65,potrero,2,10/2/2022,8:10,thraupis_episcopus,Red_8,3.346095401,-76.55655639,Frugivoro
cap_66,potrero,2,10/2/2022,8:50,lonchura_malacca,Red_5,3.345973821,-76.55557354,Granivoro
cap_67,potrero,2,10/2/2022,9:30,sporophila_nigricollis,Red_6,3.345939161,-76.55604414,Granivoro
cap_68,potrero,2,10/2/2022,9:30,thraupis_episcopus,Red_2,3.346129561,-76.55464629,Frugivoro
